0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
651680,390398.4481,670298.7742,879667.411,736472.309,476537.778,651680,379218.8252,558106.7801,466447.9002,466233.9949,22487.85589,7226,634.6565896,6830.576863,6506.027056,1598.197571,7005.222719,651679.2055,651682.2874,651679.5294,651681.2606,651677.7439,651682.7399,651675.918
459151,763767.4,642342.5126,729728.2023,676104.892,485953.63,459151,460763.3319,680558.9616,779946.2279,707893.2434,400720.2131,5999,3249.884814,7243.139346,8695.587017,2170.531789,5156.292667,459147.0752,459153.6365,459151.8614,459152.1942,459151.8248,459147.7435,459158.4766
596299,1035965.302,630676.4817,227596.9191,449258.3207,457362.6106,596299,839406.6747,442243.9024,580902.5914,344245.8443,958788.0269,6569,5014.566026,6250.633738,6490.044729,9463.749304,7137.914538,596305.6372,596301.1345,596301.4771,596298.1765,596295.3804,596305.1635,596303.6764
474950,446752.5951,799902.1294,224798.8596,609267.767,487929.2314,474950,528534.5087,622435.8438,431443.6407,517441.727,38540.42518,6158,3573.522191,5073.410092,6678.405657,2660.21841,7873.682917,474943.6787,474948.7248,474948.1076,474956.8108,474955.0854,474953.3987,474951.6549
631421,1218789.168,756644.8052,370312.0972,350606.5331,528715.5658,631421,417115.8697,584508.6436,475356.8039,410185.8278,51837.56118,7123,4156.776129,3153.280666,3815.185806,8580.553043,5380.070357,631422.0396,631417.3529,631428.2697,631423.3261,631420.7409,631425.3273,631416.0942
465275,725754.5726,569856.9867,715467.1279,687538.5531,605724.3227,465275,652009.9036,424271.0084,656909.2033,611628.0049,627003.2218,6627,432.5232356,7966.550186,5407.349434,3628.879259,4386.869267,465270.6361,465270.5338,465275.5244,465275.8134,465274.4526,465273.0329,465265.9418
629861,867090.6987,722779.7203,11741.38626,546776.2261,259403.5289,629861,509756.7761,659760.8822,641716.6758,484829.6542,678100.4564,7620,1044.056188,6518.692574,6592.389177,2658.226873,7213.631553,629859.0824,629865.2398,629860.2221,629856.8621,629861.0945,629864.0941,629861.334
455582,1081984.955,436570.3434,1242111.083,554045.2086,829892.3246,455582,779182.2732,216957.3525,359594.8731,486636.446,213378.3639,4553,748.4918293,5162.48306,5948.319533,1590.911154,6406.790076,455582.0715,455582.9339,455586.1468,455578.0974,455579.0165,455581.12,455575.47
650192,879181.4275,527985.4792,323931.2084,416770.7737,380056.5385,650192,769643.64,589955.8695,481284.5759,568957.1439,113361.8122,1205,4951.621282,4598.929471,8654.58996,1984.156009,6150.309444,650193.0613,650193.5369,650190.2815,650191.2369,650191.9882,650197.5534,650187.6712
422762,984255.4841,576043.9014,212822.2541,463906.5544,532313.3995,422762,473421.3655,535408.1634,517231.0165,572425.2472,2640582.212,6488,5227.011691,4944.521214,4337.480598,14302.73233,6675.504828,422765.5772,422763.7565,422758.6061,422760.0366,422758.7807,422768.8206,422760.6567
